SR No.,CompanyName,Post,JobID,Type,Location,Skills,AppliedThrough,DateApplied,Application Status,Application Notes,Comments
459,ASAPP,Business/Data Analyst (Excel),,Full-Time,WFH,"Python libraries (Matplotlib, Seaborn), Python",Official Website,03-08-2024,No Response,No response received,
460,Ivalua,Data Analyst,,Internship (3 Months),Mumbai,"Machine Learning, Google Sheets, NLP, Statistics",Naukri,03-08-2024,No Response,No response received,
461,VICE ENTERPRISES,Data Analyst,,Full-Time,Hyderabad,"Machine Learning, Python",Indeed,03-08-2024,Proceed with Another Candidate,Consider other opportunities,
462,LatentView,Data analyst,,Full-time,WFH,"Data Analytics, NLP, Excel",Indeed,04-08-2024,Proceed with Another Candidate,Consider other opportunities,
463,OneOrigin,Data Analyst,,Full-Time,Bangalore,"Statistics, Jupyter Notebook, Data Analytics, Excel",Internshala,05-08-2024,Proceed with Another Candidate,Consider other opportunities,
464,Avaari,Customer Remediation Business Control Analyst,,Internship (6 Months),Hyderabad,"Excel, Machine Learning",Naukri,05-08-2024,No Response,No response received,
465,Ozibook Tech Solutions Private Limited,Data Analyst / Data Scientist,,Full-time,Chennai,"Python, Data Analytics, Power BI, Machine Learning",Indeed,06-08-2024,No Response,No response received,
466,WPP,Business Analyst,,10 months Contract,Bangalore,"Pandas, TensorFlow, Excel, Jupyter Notebook",Indeed,08-08-2024,No Response,No response received,
467,Apperture,Data Analyst,,Internship (4 months),Bangalore,"Python libraries (Matplotlib, Seaborn), Python",Official Website,09-08-2024,No Response,No response received,
468,BayOne Solutions,Data Operations Analyst,,Full-Time,Hyderabad,"Deep Learning, Power BI, Statistics, NLP",Naukri,09-08-2024,No Response,No response received,
469,Advertalyst Private Limited,Intern - Data Operations,,Full-time,Chennai,"Google Sheets, Machine Learning, Statistics, SQL",Indeed,10-08-2024,No Response,No response received,
470,Rekruton Technologies,Product Analyst,,,WFH,"Tableau, Machine Learning",Indeed,13-08-2024,Rejected,Consider other opportunities,
471,Johnson & Johnson,Officer Business Analytics,,Full-Time,Chennai,"Pandas, Tableau, TensorFlow, Python libraries (Matplotlib, Seaborn)",Internshala,14-08-2024,No Response,No response received,
472,Health and Safety,Jr. Data & Analytics Engineer,,Full-time,Hyderabad,"Machine Learning, Data Analytics",LinkedIn,15-08-2024,No Response,No response received,
473,Square Yards,Analyst,,Full-time,Chennai,"Python libraries (Matplotlib, Seaborn), NLP, Google Sheets, Data Analytics",Indeed,15-08-2024,No Response,No response received,
474,Tree Top Staffing LLC,Data Scientist- Junior / Senior MNC,,1 Year (Contract),Hyderabad,"NLP, Excel, Statistics",Official Website,18-08-2024,No Response,No response received,
475,Sumo Logic,Junior Data Analyst,,Full-time,Delhi,"TensorFlow, Machine Learning",Internshala,19-08-2024,Rejected,Consider other opportunities,
476,Winged Recruitment,Data Analyst,,Full-Time,Chennai,"Excel, Tableau",Internshala,19-08-2024,No Response,No response received,
477,Rekruton Technologies,Business Analytics,,Full-time,WFH,"Tableau, Excel, Python",Official Website,20-08-2024,No Response,No response received,
478,Hindustan SWM Solutions Pvt Ltd,Data Analyst Data Science -Engineer,,Full-time,Mumbai,"Power BI, TensorFlow, Deep Learning, Jupyter Notebook",Naukri,20-08-2024,No Response,No response received,
479,krtrimaIQ Cognitive Solutions,Data Analyst,,Full-Time,Bangalore,"Machine Learning, Tableau, Python, Jupyter Notebook",Official Website,20-08-2024,No Response,No response received,
480,17live,Data Analyst,,Full-Time,Delhi,"Pandas, Google Sheets, SQL",Internshala,20-08-2024,No Response,No response received,
481,ASAPP,Data Analyst,,Full-Time,Bangalore,"SQL, Google Sheets",Internshala,22-08-2024,No Response,No response received,
482,The Udaiti Foundation,Data Scientist,,Internship ,Hyderabad,"Deep Learning, Power BI, Machine Learning",Indeed,22-08-2024,No Response,No response received,
483,Jivichem Synthesis Private Limited,Software Developer,,Internship,Chennai,"Excel, Tableau",Official Website,23-08-2024,No Response,No response received,
484,Bytical,Data Analyst,,Full-time,Hyderabad,"Power BI, Python libraries (Matplotlib, Seaborn)",Naukri,24-08-2024,No Response,No response received,
485,Bytical,Data Analyst,,Internship (6 Months),Chennai,"Power BI, Tableau, TensorFlow",LinkedIn,24-08-2024,No Response,No response received,
486,MAANG,Data Analyst,,Full-Time,WFH,"Jupyter Notebook, Deep Learning, Google Sheets, Tableau",Naukri,25-08-2024,No Response,No response received,
487,Citi Bank,Data Analyst,,Internship,Hyderabad,"Pandas, Data Analytics, Tableau",Official Website,25-08-2024,No Response,No response received,
488,TekJobs,Train & Hire,,Full-time,Bangalore,"Python, Excel",LinkedIn,26-08-2024,Rejected,Consider other opportunities,
489,InfiHire,Analyst Data Science,,Full-Time,Chennai,"Jupyter Notebook, NLP, Deep Learning",Internshala,26-08-2024,Rejected,Consider other opportunities,
490,Deloitt,Data Analytics Manager,,Internship (6 Months),Chennai,"Jupyter Notebook, Machine Learning, Power BI",Naukri,27-08-2024,Proceed with Another Candidate,Consider other opportunities,
491,ExpertXai Technologies,Analytics Specialist,,Internship (4 months),Mumbai,"SQL, Tableau, Python libraries (Matplotlib, Seaborn), Data Analytics",Indeed,28-08-2024,No Response,No response received,
492,Gartner,Data Analyst,,Internship,Bangalore,"NLP, Python, Tableau, Excel",Internshala,31-08-2024,No Response,No response received,
493,LatentView,Data Insights Architect,,Full-Time,Bangalore,"Pandas, Data Analytics",LinkedIn,01-09-2024,Rejected,Consider other opportunities,
494,Deliveroo,Data Analyst,,Full-time,Delhi,"Pandas, Power BI, Statistics, NLP",Official Website,02-09-2024,Proceed with Another Candidate,Consider other opportunities,
495,Prodigy Recruitment Consultants,Research Analyst,,Full-Time,WFH,"Deep Learning, TensorFlow, NLP",Naukri,03-09-2024,No Response,No response received,
496,Rekruton Technologies,Data Analyst,,Full-time,Bangalore,"Python, Power BI",Official Website,03-09-2024,No Response,No response received,
497,Wrike,Junior Data Analyst (Python/Power BI),,Full-time,Delhi,"Python, TensorFlow, SQL, Google Sheets",LinkedIn,03-09-2024,No Response,No response received,
498,Arcadis,Data Analyst (Python),,Internship (3 Months),Mumbai,"Python libraries (Matplotlib, Seaborn), Google Sheets, Deep Learning",LinkedIn,04-09-2024,No Response,No response received,
499,RazorPay,Data Analyst,,Internship,Delhi,"NLP, Google Sheets, Tableau, Machine Learning",Official Website,07-09-2024,No Response,No response received,
500,BayOne Solutions,AI - Data Analytics - Text Analytics - Chatbot,,Internship (3 Months),Bangalore,"Data Analytics, Power BI, Tableau",Official Website,08-09-2024,No Response,No response received,
501,WhiteSlips Job Management Consultants,Data Analyst,,Part-Time,Hyderabad,"NLP, Power BI",LinkedIn,13-09-2024,No Response,No response received,
502,Advertalyst Private Limited,Data Analyst,,Internship,Bangalore,"Jupyter Notebook, Google Sheets",LinkedIn,14-09-2024,No Response,No response received,
503,LatentView,Big Data Executive,,Internship,Delhi,"Python libraries (Matplotlib, Seaborn), TensorFlow, Python",Indeed,14-09-2024,No Response,No response received,
504,Louis Dreyfus Company,Data Analyst,,Full-time,Delhi,"Jupyter Notebook, Google Sheets",LinkedIn,14-09-2024,No Response,No response received,
505,MLH Agency,Data analyst,,Full-time,Chennai,"SQL, NLP",LinkedIn,15-09-2024,No Response,No response received,
506,Rapid Consulting Services,Data analyst,,Internship,Bangalore,"NLP, Power BI, Statistics",Naukri,15-09-2024,No Response,No response received,
507,BayOne Solutions,Data Analytics,,Full-time,Mumbai,"Python, NLP, Tableau, Excel",Naukri,16-09-2024,No Response,No response received,
508,SymphonyAI,Data Operations Analyst,,Full-Time,WFH,"Jupyter Notebook, Google Sheets",LinkedIn,16-09-2024,Rejected,Consider other opportunities,
509,Chubb,Data Analytics,,Full-Time,Delhi,"Power BI, TensorFlow, SQL",Official Website,17-09-2024,No Response,No response received,
510,Technofactorx AI,Data Analyst,,Contract (12 month),WFH,"NLP, Python, Power BI",Naukri,18-09-2024,No Response,No response received,
511,HCLTech,Business Analyst,,Internship,Hyderabad,"Jupyter Notebook, NLP, Python libraries (Matplotlib, Seaborn), TensorFlow",LinkedIn,19-09-2024,No Response,No response received,
512,noon,Data Analyst,,Internship (4 months),WFH,"Machine Learning, Python libraries (Matplotlib, Seaborn), Data Analytics",Naukri,21-09-2024,No Response,No response received,
513,Talent Disruptors,Data Analyst,,Full-Time,Chennai,"Deep Learning, TensorFlow",LinkedIn,21-09-2024,Rejected,Consider other opportunities,
514,Agrim Wholesale,Programmer Analyst,,Full-time,WFH,"NLP, Tableau",Internshala,24-09-2024,No Response,No response received,
515,Elite Met Solutions,Machine Learning,,Full-time,WFH,"SQL, Statistics, Python libraries (Matplotlib, Seaborn)",LinkedIn,25-09-2024,No Response,No response received,
516,Ozibook Tech Solutions Private Limited,Data Analyst,,Full-Time,WFH,"Machine Learning, SQL, Statistics, Excel",Indeed,25-09-2024,No Response,No response received,
517,Ipsos,Junior Data Analyst,,Full-Time,Hyderabad,"SQL, Pandas, Machine Learning, Power BI",Official Website,28-09-2024,No Response,No response received,
518,Ivalua,Junior Data Analyst,,Full-Time,Hyderabad,"Python, TensorFlow, Machine Learning, Python libraries (Matplotlib, Seaborn)",Indeed,30-09-2024,No Response,No response received,
519,Citi Bank,Software Development,,Full-Time,Delhi,"Pandas, Excel, Data Analytics, Google Sheets",Naukri,02-10-2024,No Response,No response received,
520,Ozibook Tech Solutions Private Limited,Artificial Intelligence (AI),,Full-time,Bangalore,"TensorFlow, Statistics, Data Analytics, Python",Naukri,02-10-2024,No Response,No response received,
521,Innometrics Solutions,Data analyst,,Full-Time,Chennai,"SQL, Jupyter Notebook, Tableau, Statistics",Indeed,03-10-2024,No Response,No response received,
522,Sandhan Learning,Junior Data Analyst,,Internship  ,Bangalore,"Deep Learning, Statistics, Google Sheets, Excel",Indeed,03-10-2024,No Response,No response received,
523,Deloitt,Data analyst,,Full-time,Delhi,"Excel, Deep Learning, Statistics",Indeed,03-10-2024,No Response,No response received,
524,Pianalytix Edutech Private Limted,Machine Learning,,Full-Time,WFH,"Pandas, Google Sheets, Power BI, SQL",Internshala,08-10-2024,No Response,No response received,
525,ENZER COMPONENTS LIMITED,Junior Data Scientist,,Full-Time,Chennai,"Python libraries (Matplotlib, Seaborn), Jupyter Notebook",LinkedIn,08-10-2024,No Response,No response received,
526,OneBanc,Data Analyst,,Full-Time,Chennai,"Deep Learning, Power BI, Jupyter Notebook, Excel",LinkedIn,09-10-2024,Rejected,Consider other opportunities,
527,Ozibook Tech Solutions Private Limited,Analyst Data Science,,Full-time,Mumbai,"Power BI, Jupyter Notebook, Excel, Python",LinkedIn,10-10-2024,No Response,No response received,
528,Trailytics,Intern,,Full-Time,WFH,"Statistics, NLP, Power BI",Naukri,10-10-2024,No Response,No response received,
529,Innometrics Solutions,Junior Data Analyst (Python/SQL),,Full-Time,Delhi,"TensorFlow, Google Sheets",Indeed,10-10-2024,Proceed with Another Candidate,Consider other opportunities,
530,Leadenhall Analytics,Data Analyst (Fresher / Python/SQL Expert),,Part-Time,Bangalore,"Pandas, Statistics, Excel, SQL",Official Website,12-10-2024,Proceed with Another Candidate,Consider other opportunities,
531,ZS Associates,Jr. Data & Analytics Engineer,,Full-Time,Delhi,"Jupyter Notebook, Python",Official Website,12-10-2024,No Response,No response received,
532,Zyla Health,Data Analyst,,Full-Time,Delhi,"SQL, Excel, Jupyter Notebook",Naukri,12-10-2024,No Response,No response received,
533,WCG,Artificial Intelligence (AI),,Full-Time,Chennai,"Python, Excel",LinkedIn,13-10-2024,No Response,No response received,
534,BayOne Solutions,Data Analyst,,Full-time,Bangalore,"Excel, Data Analytics",Internshala,13-10-2024,No Response,No response received,
535,TekJobs,Data Analyst,,Full-Time,Delhi,"SQL, Excel, Jupyter Notebook",Naukri,14-10-2024,Proceed with Another Candidate,Consider other opportunities,
536,Colt Technology Services,Data Analyst,,Full-Time,Chennai,"Python, Machine Learning, TensorFlow, Pandas",Indeed,15-10-2024,No Response,No response received,
537,Rekruton Technologies,Data Analyst,,Internship,Bangalore,"Machine Learning, Tableau, TensorFlow",Internshala,15-10-2024,No Response,No response received,
538,Acme Services,Intern - Data Operations,,Full-time,Chennai,"Machine Learning, Pandas",Official Website,17-10-2024,No Response,No response received,
539,Creditsafe Technology,Data Analyst,,Full-Time,Hyderabad,"Data Analytics, Power BI, Statistics, Machine Learning",Internshala,19-10-2024,No Response,No response received,
540,Technofactorx AI,Business Analytics,,1 Year (Contract),Bangalore,"Pandas, Power BI, Python, NLP",LinkedIn,19-10-2024,No Response,No response received,
541,Wipro,Business Analytics,,Full-time,Mumbai,"Python, Tableau, Deep Learning, Power BI",Internshala,19-10-2024,No Response,No response received,
542,Goodera,Trainee - Development,,Full-Time,Delhi,"Pandas, Statistics",Indeed,20-10-2024,Rejected,Consider other opportunities,
543,Chubb,Product Analyst,,Full-Time,Mumbai,"Python libraries (Matplotlib, Seaborn), Google Sheets, Jupyter Notebook",Naukri,21-10-2024,No Response,No response received,
544,BayOne Solutions,Serial Plotter - Technical Data Analyst,,Internship (3 Months),WFH,"Tableau, Power BI",Naukri,21-10-2024,No Response,No response received,
545,Creditsafe Technology,Data Science,,Full-time,Chennai,"Google Sheets, Deep Learning, Statistics, Tableau",Internshala,22-10-2024,No Response,No response received,
546,Colt Technology Services,Data Analyst,,Full-Time,Delhi,"Pandas, Google Sheets, Jupyter Notebook",Official Website,23-10-2024,No Response,No response received,
547,Innometrics Solutions,Decision Analytics Associate,,Full-Time,Bangalore,"Pandas, SQL, Power BI, Deep Learning",Internshala,23-10-2024,No Response,No response received,
548,sugar.fit,Data Analyst,,Full-Time,Delhi,"NLP, TensorFlow, Machine Learning",LinkedIn,23-10-2024,No Response,No response received,
549,CloudHire,Data Analyst,,Full-Time,Chennai,"Tableau, Machine Learning, SQL, Statistics",Naukri,24-10-2024,No Response,No response received,
550,Gridware,Data Analyst,,Internship with Job offer (1 Month),Delhi,"Python libraries (Matplotlib, Seaborn), Machine Learning, Data Analytics, NLP",Internshala,25-10-2024,No Response,No response received,
551,MakeMyTrip,Data Analyst,,Full-Time,Delhi,"Power BI, Python, Machine Learning",LinkedIn,25-10-2024,Proceed with Another Candidate,Consider other opportunities,
552,KreditBee,Business Analytics,,Full-Time,Mumbai,"Jupyter Notebook, Tableau, SQL",Internshala,28-10-2024,No Response,No response received,
553,V5 Global Services Private Limited,Technical Data Analyst,,Full-time,WFH,"Python, Statistics, Pandas, Python libraries (Matplotlib, Seaborn)",Naukri,28-10-2024,No Response,No response received,
554,Jar,Data Analyst,,Full-time,Bangalore,"Python libraries (Matplotlib, Seaborn), Deep Learning, NLP",Indeed,30-10-2024,No Response,No response received,
555,Creative Hands HR,Data Science,,Full-time,Mumbai,"Data Analytics, SQL, Jupyter Notebook",LinkedIn,30-10-2024,No Response,No response received,
